"days","loss_count","loss_type","claim_source","time_frame","loss_country","minimum","maximum","category","source_target"
35,131,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
35,54,"AA Systems-Russia","UA Source","Cumulative","Russia",0,0,"AA Systems","UA Source-Russia"
35,1269,"Vehicles & Fuel Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
35,1723,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
36,52500,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
36,1276,"Vehicles & Fuel Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
36,1735,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
38,17800,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
38,53400,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
38,143,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
38,134,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
38,631,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
38,317,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
38,100,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
38,7,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
38,87,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
38,54,"AA Systems-Russia","UA Source","Cumulative","Russia",0,0,"AA Systems","UA Source-Russia"
38,1313,"Vehicles & Fuel Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
38,1776,"Armored Vehicles-Russia","UA Source","Cumulative","Russia",0,0,"Armored Vehicles","UA Source-Russia"
40,1349,"Vehicles & Fuel Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Vehicles & Fuel Tanks","UA Source-Russia"
41,450,"Tanks-Russia","OSI","Cumulative","Russia",1,0,"Tanks","OSI-Russia"
41,184,"MLRS-Russia","OSI","Cumulative","Russia",1,0,"MLRS","OSI-Russia"
41,95,"Tanks-Ukraine","OSI","Cumulative","Ukraine",1,0,"Tanks","OSI-Ukraine"
41,60,"Artillery-Ukraine","OSI","Cumulative","Ukraine",1,0,"Artillery","OSI-Ukraine"
42,55800,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
42,135,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
43,332,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
44,333,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
44,108,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
44,7,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
45,335,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
46,342,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
46,152,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
46,137,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
46,19300,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
49,19500,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
49,725,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
49,347,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
49,1111,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
49,154,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
49,137,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
49,7,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
49,119,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
50,160,"Aircraft (unspecified)-Russia","UA Source","Cumulative","Russia",0,0,"Aircraft (unspecified)","UA Source-Russia"
53,20100,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
53,371,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
53,125,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
53,145,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
53,8,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
53,138,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
53,23367,"Military Casualties-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Military Casualties","RU Source-Ukraine"
53,1351,"Military Deaths-Russia","RU Source","Cumulative","Russia",0,0,"Military Deaths","RU Source-Russia"
55,139,"Jets-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Jets","RU Source-Ukraine"
55,483,"UAVs-Ukraine","RU Source","Cumulative","Ukraine",0,0,"UAVs","RU Source-Ukraine"
55,2337,"Tanks & Armored Combat Vehicles-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Tanks & Armored Combat Vehicles","RU Source-Ukraine"
55,254,"MLRS-Ukraine","RU Source","Cumulative","Ukraine",0,0,"MLRS","RU Source-Ukraine"
55,1009,"Artillery-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Artillery","RU Source-Ukraine"
55,2196,"Special Military Motor Vehicles-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Special Military Motor Vehicles","RU Source-Ukraine"
57,834,"Tanks-Russia","Other","Cumulative","Russia",0,0,"Tanks","Other-Russia"
57,521,"Tanks-Russia","Other","Cumulative","Russia",0,0,"Tanks","Other-Russia"
57,125,"Tanks-Ukraine","Other","Cumulative","Ukraine",0,0,"Tanks","Other-Ukraine"
57,75,"Armored Vehicles-Ukraine","Other","Cumulative","Ukraine",0,0,"Armored Vehicles","Other-Ukraine"
60,147,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
60,170,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
60,8,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
60,191,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
61,884,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
61,411,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
61,149,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
61,181,"Jets-Russia","UA Source","Cumulative","Russia",0,0,"Jets","UA Source-Russia"
61,154,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
61,201,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
61,8,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
61,21900,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
64,22800,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
64,68400,"Military Casualties-Russia","UA Source","Cumulative","Russia",0,0,"Military Casualties","UA Source-Russia"
67,23500,"Military Deaths-Russia","UA Source","Cumulative","Russia",0,0,"Military Deaths","UA Source-Russia"
67,1026,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
67,451,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
67,151,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
67,192,"Aircraft (unspecified)-Russia","UA Source","Cumulative","Russia",0,0,"Aircraft (unspecified)","UA Source-Russia"
67,155,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
67,8,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
67,245,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
69,19,"Jets-Ukraine","OSI","Cumulative","Ukraine",1,0,"Jets","OSI-Ukraine"
69,4,"Helicopters-Ukraine","OSI","Cumulative","Ukraine",1,0,"Helicopters","OSI-Ukraine"
69,19,"UAVs-Ukraine","OSI","Cumulative","Ukraine",1,0,"UAVs","OSI-Ukraine"
69,149,"Tanks-Ukraine","OSI","Cumulative","Ukraine",1,0,"Tanks","OSI-Ukraine"
69,16,"MLRS-Ukraine","OSI","Cumulative","Ukraine",1,0,"MLRS","OSI-Ukraine"
70,1077,"Tanks-Russia","UA Source","Cumulative","Russia",0,0,"Tanks","UA Source-Russia"
70,491,"Artillery-Russia","UA Source","Cumulative","Russia",0,0,"Artillery","UA Source-Russia"
70,163,"MLRS-Russia","UA Source","Cumulative","Russia",0,0,"MLRS","UA Source-Russia"
70,194,"Aircraft (unspecified)-Russia","UA Source","Cumulative","Russia",0,0,"Aircraft (unspecified)","UA Source-Russia"
70,155,"Helicopters-Russia","UA Source","Cumulative","Russia",0,0,"Helicopters","UA Source-Russia"
70,10,"Ships-Russia","UA Source","Cumulative","Russia",0,0,"Ships","UA Source-Russia"
70,303,"UAVs-Russia","UA Source","Cumulative","Russia",0,0,"UAVs","UA Source-Russia"
71,146,"Jets-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Jets","RU Source-Ukraine"
71,112,"Helicopters-Ukraine","RU Source","Cumulative","Ukraine",0,0,"Helicopters","RU Source-Ukraine"
71,712,"UAVs-Ukraine","RU Source","Cumulative","Ukraine",0,0,"UAVs","RU Source-Ukraine"
